graph,order,size,time,iterations,error,technique,tolerance
"min-NvgraphEx","6","10","0.005","36","0.0000011958","pagerankL2Norm","1e-10"
"min-NvgraphEx","6","10","0.004","36","0.0000011958","pagerankLiNorm","1e-10"
"web-Stanford","281903","2312497","423.118","63","0","pagerank","0"
"web-Stanford","281903","2312497","7.327","1","0.60894","pagerankL1Norm","1"
"web-Stanford","281903","2312497","7.331","1","0.60894","pagerankL2Norm","1"
"web-Stanford","281903","2312497","7.323","1","0.60894","pagerankLiNorm","1"
"web-Stanford","281903","2312497","14.132","2","0.33244","pagerankL1Norm","0.5"
"web-Stanford","281903","2312497","7.339","1","0.60894","pagerankL2Norm","0.5"
"web-Stanford","281903","2312497","7.322","1","0.60894","pagerankLiNorm","0.5"
"web-Stanford","281903","2312497","34.321","5","0.09424","pagerankL1Norm","0.1"
"web-Stanford","281903","2312497","7.406","1","0.60894","pagerankL2Norm","0.1"
"web-Stanford","281903","2312497","7.347","1","0.60894","pagerankLiNorm","0.1"
"web-Stanford","281903","2312497","40.999","6","0.069689","pagerankL1Norm","0.05"
"web-Stanford","281903","2312497","7.332","1","0.60894","pagerankL2Norm","0.05"
"web-Stanford","281903","2312497","7.33","1","0.60894","pagerankLiNorm","0.05"
"web-Stanford","281903","2312497","81.31","12","0.016086","pagerankL1Norm","0.01"
"web-Stanford","281903","2312497","34.222","5","0.09424","pagerankL2Norm","0.01"
"web-Stanford","281903","2312497","20.831","3","0.19915","pagerankLiNorm","0.01"
"web-Stanford","281903","2312497","101.503","15","0.008503","pagerankL1Norm","0.005"
"web-Stanford","281903","2312497","34.225","5","0.09424","pagerankL2Norm","0.005"
"web-Stanford","281903","2312497","20.826","3","0.19915","pagerankLiNorm","0.005"
"web-Stanford","281903","2312497","155.208","23","0.0017352","pagerankL1Norm","0.001"
"web-Stanford","281903","2312497","437.157","65","3.7542e-7","pagerankL2Norm","0.001"
"web-Stanford","281903","2312497","40.973","6","0.069689","pagerankLiNorm","0.001"
"web-Stanford","281903","2312497","182.057","27","0.00081235","pagerankL1Norm","0.0005"
"web-Stanford","281903","2312497","436.277","65","3.7542e-7","pagerankL2Norm","0.0005"
"web-Stanford","281903","2312497","40.973","6","0.069689","pagerankLiNorm","0.0005"
"web-Stanford","281903","2312497","242.514","36","0.0001534","pagerankL1Norm","0.0001"
"web-Stanford","281903","2312497","436.74","65","3.7542e-7","pagerankL2Norm","0.0001"
"web-Stanford","281903","2312497","87.954","13","0.012954","pagerankLiNorm","0.0001"
"web-Stanford","281903","2312497","269.483","40","0.00007419","pagerankL1Norm","0.00005"
"web-Stanford","281903","2312497","436.287","65","3.7542e-7","pagerankL2Norm","0.00005"
"web-Stanford","281903","2312497","114.783","17","0.0056468","pagerankLiNorm","0.00005"
"web-Stanford","281903","2312497","329.76","49","0.000013774","pagerankL1Norm","0.00001"
"web-Stanford","281903","2312497","436.052","65","3.7542e-7","pagerankL2Norm","0.00001"
"web-Stanford","281903","2312497","181.867","27","0.00081235","pagerankLiNorm","0.00001"
"web-Stanford","281903","2312497","356.233","53","0.0000061334","pagerankL1Norm","0.000005"
"web-Stanford","281903","2312497","436.831","65","3.7542e-7","pagerankL2Norm","0.000005"
"web-Stanford","281903","2312497","208.627","31","0.00038458","pagerankLiNorm","0.000005"
"web-Stanford","281903","2312497","423.686","63","0","pagerankL1Norm","0.000001"
"web-Stanford","281903","2312497","3337.069","500","0.000001268","pagerankL2Norm","0.000001"
"web-Stanford","281903","2312497","275.648","41","0.000061306","pagerankLiNorm","0.000001"
"web-Stanford","281903","2312497","450.261","67","6.3236e-7","pagerankL1Norm","5e-7"
"web-Stanford","281903","2312497","3338.348","500","0.000001268","pagerankL2Norm","5e-7"
"web-Stanford","281903","2312497","302.424","45","0.000029406","pagerankLiNorm","5e-7"
"web-Stanford","281903","2312497","514.874","77","0.0000011385","pagerankL1Norm","1e-7"
"web-Stanford","281903","2312497","3290.667","500","0.000001268","pagerankL2Norm","1e-7"
"web-Stanford","281903","2312497","364.174","55","0.0000039247","pagerankLiNorm","1e-7"
"web-Stanford","281903","2312497","555.245","84","0.0000012488","pagerankL1Norm","5e-8"
"web-Stanford","281903","2312497","3287.86","500","0.000001268","pagerankL2Norm","5e-8"
"web-Stanford","281903","2312497","390.604","59","0.0000012932","pagerankLiNorm","5e-8"
"web-Stanford","281903","2312497","3288.131","500","0.000001268","pagerankL1Norm","1e-8"
"web-Stanford","281903","2312497","3289.104","500","0.000001268","pagerankL2Norm","1e-8"
"web-Stanford","281903","2312497","463.145","70","0.0000010973","pagerankLiNorm","1e-8"
"web-Stanford","281903","2312497","3289.938","500","0.000001268","pagerankL1Norm","5e-9"
"web-Stanford","281903","2312497","3288.659","500","0.000001268","pagerankL2Norm","5e-9"
"web-Stanford","281903","2312497","482.664","73","0.0000010328","pagerankLiNorm","5e-9"
"web-Stanford","281903","2312497","3289.12","500","0.000001268","pagerankL1Norm","1e-9"
"web-Stanford","281903","2312497","3288.354","500","0.000001268","pagerankL2Norm","1e-9"
"web-Stanford","281903","2312497","3289.023","500","0.000001268","pagerankLiNorm","1e-9"
"web-Stanford","281903","2312497","3288.772","500","0.000001268","pagerankL1Norm","5e-10"
"web-Stanford","281903","2312497","3289.153","500","0.000001268","pagerankL2Norm","5e-10"
"web-Stanford","281903","2312497","3289.799","500","0.000001268","pagerankLiNorm","5e-10"
"web-Stanford","281903","2312497","3288.177","500","0.000001268","pagerankL1Norm","1e-10"
"web-Stanford","281903","2312497","3288.137","500","0.000001268","pagerankL2Norm","1e-10"
"web-Stanford","281903","2312497","3287.469","500","0.000001268","pagerankLiNorm","1e-10"
"web-BerkStan","685230","7600595","942.412","64","0","pagerank","0"
"web-BerkStan","685230","7600595","30.551","2","0.36012","pagerankL1Norm","1"
"web-BerkStan","685230","7600595","15.647","1","0.64928","pagerankL2Norm","1"
"web-BerkStan","685230","7600595","15.625","1","0.64928","pagerankLiNorm","1"
"web-BerkStan","685230","7600595","45.229","3","0.21686","pagerankL1Norm","0.5"
"web-BerkStan","685230","7600595","15.807","1","0.64928","pagerankL2Norm","0.5"
"web-BerkStan","685230","7600595","15.79","1","0.64928","pagerankLiNorm","0.5"
"web-BerkStan","685230","7600595","74.264","5","0.10215","pagerankL1Norm","0.1"
"web-BerkStan","685230","7600595","15.705","1","0.64928","pagerankL2Norm","0.1"
"web-BerkStan","685230","7600595","15.799","1","0.64928","pagerankLiNorm","0.1"
"web-BerkStan","685230","7600595","105.384","7","0.057916","pagerankL1Norm","0.05"
"web-BerkStan","685230","7600595","15.632","1","0.64928","pagerankL2Norm","0.05"
"web-BerkStan","685230","7600595","15.817","1","0.64928","pagerankLiNorm","0.05"
"web-BerkStan","685230","7600595","178.081","12","0.017663","pagerankL1Norm","0.01"
"web-BerkStan","685230","7600595","74.745","5","0.10215","pagerankL2Norm","0.01"
"web-BerkStan","685230","7600595","30.58","2","0.36012","pagerankLiNorm","0.01"
